courses_id,course_name,department_id,department_name
CMDP 5370,"Choreography, Cinematograph: Writing in Motion",CMDP,Department of Comparative Media Studies and Practice
CMDP 5450,Contemporary Documentary Media,CMDP,Department of Comparative Media Studies and Practice
CMDP 5500,Documentary Production Workshops,CMDP,Department of Comparative Media Studies and Practice
CMDP 5600,Documentary Lab Seminar,CMDP,Department of Comparative Media Studies and Practice
CMDP 5650,Documentary Field Work,CMDP,Department of Comparative Media Studies and Practice
CMDP 5900,Documentary Production Topics,CMDP,Department of Comparative Media Studies and Practice
CMDP 5910,Individual Project Study,CMDP,Department of Comparative Media Studies and Practice
CMDP 6500,Producing Practicum,CMDP,Department of Comparative Media Studies and Practice
CMDP 6600,Documentary MFA Thesis Seminar I,CMDP,Department of Comparative Media Studies and Practice
CMDP 6650,Documentary MFA Thesis Seminar II,CMDP,Department of Comparative Media Studies and Practice
CMDP 6841,Independent Study,CMDP,Department of Comparative Media Studies and Practice
CMDP 6871,Special Topics,CMDP,Department of Comparative Media Studies and Practice
CMDP 7100,Historical Overview of Media Arts and Technology,CMDP,Department of Comparative Media Studies and Practice
CMDP 7150,Theoretical Overview of Media Arts and Technology,CMDP,Department of Comparative Media Studies and Practice
CMDP 7200,Research and Methodologies I,CMDP,Department of Comparative Media Studies and Practice
CMDP 7300,Theories of the Avant-Garde,CMDP,Department of Comparative Media Studies and Practice
CMDP 7400,Contemporary Practices,CMDP,Department of Comparative Media Studies and Practice
CMDP 7450,Comprehensive Exam Seminar,CMDP,Department of Comparative Media Studies and Practice
CMDP 7500,Production Methods I,CMDP,Department of Comparative Media Studies and Practice
CMDP 7560,Emergent Technologies: Theory and Practice,CMDP,Department of Comparative Media Studies and Practice
CMDP 7841,Independent Study,CMDP,Department of Comparative Media Studies and Practice
CMDP 7871,Special Topics,CMDP,Department of Comparative Media Studies and Practice
CMDP 8100,Dissertation Development,CMDP,Department of Comparative Media Studies and Practice
CMDP 8500,Collaborative Studio Practice I,CMDP,Department of Comparative Media Studies and Practice
CMDP 8600,Independent Studio Critique,CMDP,Department of Comparative Media Studies and Practice
CMDP 8991,Doctoral Dissertation,CMDP,Department of Comparative Media Studies and Practice
CESR 3025,Essential Management Skills,CESR,Department of Computer Science and Engineering
CESR 3040,Fundamentals of Socially Responsible Leadership,CESR,Department of Computer Science and Engineering
CESR 3050,Sustainable Space Governance,CESR,Department of Computer Science and Engineering
CESR 4000,Leadership Challenges,CESR,Department of Computer Science and Engineering
CESR 4005,Business Solutions for the Developing World: Learning through Service,CESR,Department of Computer Science and Engineering
CESR 4010,Microfinance,CESR,Department of Computer Science and Engineering
CESR 4130,Sustainable Operations,CESR,Department of Computer Science and Engineering
CESR 4430,Corporate Boards in Action,CESR,Department of Computer Science and Engineering
CESR 4440,Privacy in Big Data Analytics,CESR,Department of Computer Science and Engineering
CESR 4821,Values & Power of the Consumer in Society,CESR,Department of Computer Science and Engineering
CESR 4825,Experimental Seminar,CESR,Department of Computer Science and Engineering
CESR 4826,Exp. Sem-Social Entrepreneurship: Designing a Better World,CESR,Department of Computer Science and Engineering
CESR 4828,Experimental Seminar: Corporate Boards in Action,CESR,Department of Computer Science and Engineering
CESR 4850,The Sustainable Firm: ESG Strategies and Practice,CESR,Department of Computer Science and Engineering
CESR 4900,Independent Study,CESR,Department of Computer Science and Engineering
DNCE 1000,Beginning Contemporary Dance Technique,DNCE,Department of Dance
DNCE 1012,Dance Production,DNCE,Department of Dance
DNCE 1013,Dance Improvisation,DNCE,Department of Dance
DNCE 1017,Dance in Popular Culture and Media,DNCE,Department of Dance
DNCE 1020,Beginning Contemporary Dance with Experience,DNCE,Department of Dance
DNCE 1027,Dance in Cultural Perception and Expression,DNCE,Department of Dance
DNCE 1091,Modern 1,DNCE,Department of Dance
DNCE 1100,Beginning Ballet,DNCE,Department of Dance
DNCE 1120,Beginning Ballet with Experience,DNCE,Department of Dance
DNCE 1190,Ballet 1,DNCE,Department of Dance
DNCE 1200,Beginning Jazz Dance,DNCE,Department of Dance
DNCE 1220,Beginning Jazz with Experience,DNCE,Department of Dance
DNCE 1290,Jazz 1,DNCE,Department of Dance
DNCE 1301,Hip-Hop Dance Technique 1,DNCE,Department of Dance
DNCE 1401,Transnational Fusion Dance: USA and Middle East/North Africa,DNCE,Department of Dance
DNCE 1411,Aerial Dance Technique,DNCE,Department of Dance
DNCE 1501,Tap Technique,DNCE,Department of Dance
DNCE 1849,Independent Study,DNCE,Department of Dance
DNCE 1901,Technique Practicum,DNCE,Department of Dance
DNCE 1908,First Year Dance Seminar,DNCE,Department of Dance
DNCE 2021,Major Technique,DNCE,Department of Dance
DNCE 2091,Modern 2,DNCE,Department of Dance
DNCE 2098,Performance/Repertory,DNCE,Department of Dance
DNCE 2141,Low Intermediate Ballet,DNCE,Department of Dance
DNCE 2191,Ballet 2,DNCE,Department of Dance
DNCE 2290,Jazz 2,DNCE,Department of Dance
DNCE 2501,African Dance,DNCE,Department of Dance
DNCE 2701,Contact Improvisation 1,DNCE,Department of Dance
DNCE 2849,Independent Study,DNCE,Department of Dance
DNCE 2901,Technique Practicum 2,DNCE,Department of Dance
DNCE 2909,Special Topics,DNCE,Department of Dance
DNCE 3001,Intermediate/Advanced Contemporary Dance Technique,DNCE,Department of Dance
DNCE 3005,Movement Awareness and Injury Prevention for the Dancer,DNCE,Department of Dance
DNCE 3014,Inside the Groove: Developing Rhythmic Skills,DNCE,Department of Dance
DNCE 3024,SOUND Choices: Enhancing the Music/Dance Relationship,DNCE,Department of Dance
DNCE 3033,Choreographic Resources,DNCE,Department of Dance
DNCE 3035,Production Practicum,DNCE,Department of Dance
DNCE 3041,Major Technique,DNCE,Department of Dance
DNCE 3043,Choreographic Process,DNCE,Department of Dance
DNCE 3101,Ballet Practicum,DNCE,Department of Dance
DNCE 3161,Intermediate Ballet,DNCE,Department of Dance
DNCE 3241,Intermediate Jazz,DNCE,Department of Dance
DNCE 3301,Hip-Hop Dance Technique 2,DNCE,Department of Dance
DNCE 3601,Alexander Technique for Actors and Dancers,DNCE,Department of Dance
DNCE 3849,Independent Study,DNCE,Department of Dance
DNCE 3901,Technique Practicum,DNCE,Department of Dance
DNCE 3909,Special Topics,DNCE,Department of Dance
DNCE 4012,Concert Production,DNCE,Department of Dance
DNCE 4015,Movement Analysis,DNCE,Department of Dance
DNCE 4016,Creative Dance for Children,DNCE,Department of Dance
DNCE 4017,"Dancing Histories: Sex, Gender and Race in U.S. Concert Dance",DNCE,Department of Dance
DNCE 4023,Performance Improvisation Techniques,DNCE,Department of Dance
DNCE 4036,Dance Teaching Practices: Inclusive Approaches to Instruction,DNCE,Department of Dance
DNCE 4037,Contemporary Concert Dance: Shifting Perspectives in Performance,DNCE,Department of Dance
DNCE 4038,Dance Repertory,DNCE,Department of Dance
DNCE 4046,Teaching Practicum,DNCE,Department of Dance
DNCE 4047,Hip-Hop Dance History,DNCE,Department of Dance
DNCE 4053,Advanced Dance Composition,DNCE,Department of Dance
DNCE 4061,Major Technique,DNCE,Department of Dance
DNCE 4128,Ballet Repertory,DNCE,Department of Dance
DNCE 4181,Advanced Ballet,DNCE,Department of Dance
DNCE 4261,Advanced Jazz Dance Technique,DNCE,Department of Dance
DNCE 4701,Contact Improvisation 2,DNCE,Department of Dance
DNCE 4849,Independent Study,DNCE,Department of Dance
DNCE 4909,Special Topics,DNCE,Department of Dance
DNCE 4919,Dance Practicum,DNCE,Department of Dance
DNCE 4939,Dance Internship,DNCE,Department of Dance
DNCE 5001,Graduate Technique,DNCE,Department of Dance
DNCE 5012,Concert Production,DNCE,Department of Dance
DNCE 5014,Inside the Groove: Developing Rhythmic Skills for Graduates,DNCE,Department of Dance
DNCE 5015,Movement Analysis,DNCE,Department of Dance
DNCE 5016,Creative Dance for Children,DNCE,Department of Dance
DNCE 5017,"Dancing Histories: Sex, Gender and Race in U.S. Concert Dance",DNCE,Department of Dance
DNCE 5023,Performance Improvisation Techniques,DNCE,Department of Dance
DNCE 5024,SOUND Choices: Enhancing the Music/Dance Relationship,DNCE,Department of Dance
DNCE 5036,Dance Teaching Practices: Inclusive Approaches to Instruction,DNCE,Department of Dance
DNCE 5038,Dance Repertory,DNCE,Department of Dance
DNCE 5047,Hip-Hop Dance History,DNCE,Department of Dance
DNCE 5048,Performance and Community Engagement,DNCE,Department of Dance
DNCE 5052,Studio Concert,DNCE,Department of Dance
DNCE 5053,Advanced Dance Composition,DNCE,Department of Dance
DNCE 5056,Graduate Teaching Seminar,DNCE,Department of Dance
DNCE 5064,Music and Dance Seminar: Collaboration,DNCE,Department of Dance
DNCE 5101,Intermediate Graduate Ballet,DNCE,Department of Dance
DNCE 5128,Ballet Repertory,DNCE,Department of Dance
DNCE 5261,Advanced Jazz Dance Technique,DNCE,Department of Dance
DNCE 5301,Graduate Hip-Hop Technique 1,DNCE,Department of Dance
DNCE 5331,Graduate Hip-Hop Technique 2,DNCE,Department of Dance
DNCE 5339,Hip-hop Practicum,DNCE,Department of Dance
DNCE 5411,Aerial Dance Technique,DNCE,Department of Dance
DNCE 5501,Graduate African Dance,DNCE,Department of Dance
DNCE 5601,Alexander Technique for Graduate Students,DNCE,Department of Dance
DNCE 5701,Contact Improvisation 2,DNCE,Department of Dance
DNCE 5849,Independent Study,DNCE,Department of Dance
DNCE 5901,Graduate Technique Practicum,DNCE,Department of Dance
DNCE 5909,Special Topics,DNCE,Department of Dance
DNCE 5919,Dance Practicum,DNCE,Department of Dance
DNCE 6016,Teaching Lab-Contemporary Dance,DNCE,Department of Dance
DNCE 6017,Cultural Collisions and Ethics in Dance and Movement Performance,DNCE,Department of Dance
DNCE 6047,Dance Studies,DNCE,Department of Dance
DNCE 6056,Professional Development,DNCE,Department of Dance
DNCE 6073,Choreography,DNCE,Department of Dance
DNCE 6101,Advanced Graduate Ballet,DNCE,Department of Dance
DNCE 6849,Independent Study,DNCE,Department of Dance
DNCE 6919,Directed Studies,DNCE,Department of Dance
DNCE 6949,Master's Candidate for Degree,DNCE,Department of Dance
DNCE 6959,Master's Thesis,DNCE,Department of Dance
DNCE 6969,The Graduate Project,DNCE,Department of Dance
DANE 1010,Beginning Danish 1-DILS,DANE,Department of Danish
DANE 1020,Beginning Danish II-DILS,DANE,Department of Danish
DANE 2010,Intermediate Danish I - DILS,DANE,Department of Danish
DANE 2020,Intermediate Danish II - DILS,DANE,Department of Danish
DHUM 5000,"Introduction to Digital Humanities: Movements, Methods, and Tools",DHUM,Department of Digital Humanities
DHUM 6840,Capstone Project: Digital Humanities Graduate Certificate,DHUM,Department of Digital Humanities
EALC 4911,Practicum in Asian Languages 1,EALC,Department of East Asian Languages and Civilizations
EALC 4912,Practicum in Asian Languages 2,EALC,Department of East Asian Languages and Civilizations
EALC 4913,Practicum in Asian Languages 3,EALC,Department of East Asian Languages and Civilizations
EALC 4914,Practicum in Asian Languages 4,EALC,Department of East Asian Languages and Civilizations
EALC 4930,Internship,EALC,Department of East Asian Languages and Civilizations
EBIO 1010,Introduction to Statistics and Quantitative Thinking for Biologists,EBIO,Department of Ecology and Evolutionary Biology
EBIO 1020,Introduction to Ecology and Evolutionary Biology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 1040,Biology: A Human Approach 2,EBIO,Department of Ecology and Evolutionary Biology
EBIO 1100,Biology and Society,EBIO,Department of Ecology and Evolutionary Biology
EBIO 1110,Biology and Society Laboratory,EBIO,Department of Ecology and Evolutionary Biology
EBIO 1210,General Biology 1,EBIO,Department of Ecology and Evolutionary Biology
EBIO 1220,General Biology 2,EBIO,Department of Ecology and Evolutionary Biology
EBIO 1230,General Biology Laboratory 1,EBIO,Department of Ecology and Evolutionary Biology
EBIO 1240,General Biology Laboratory 2,EBIO,Department of Ecology and Evolutionary Biology
EBIO 1250,Introduction to Ecology and Evolutionary Biology Research,EBIO,Department of Ecology and Evolutionary Biology
EBIO 1300,Topics in Biological Sciences,EBIO,Department of Ecology and Evolutionary Biology
EBIO 1940,Introduction to Scientific Writing,EBIO,Department of Ecology and Evolutionary Biology
EBIO 2010,Environmental Issues and Biology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 2040,Principles of Ecology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 2070,Genetics: Molecules to Populations,EBIO,Department of Ecology and Evolutionary Biology
EBIO 2090,Tropical Island and Marine Ecology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 2091,Field Studies in Marine and Island Ecology and Oceanography,EBIO,Department of Ecology and Evolutionary Biology
EBIO 2640,Honors Principles of Ecology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 2840,Independent Study: Lower Division,EBIO,Department of Ecology and Evolutionary Biology
EBIO 3010,Teaching Biology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 3040,Conservation Biology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 3080,Evolutionary Biology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 3110,Population and Community Ecology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 3170,Mountain Ecology and Conservation,EBIO,Department of Ecology and Evolutionary Biology
EBIO 3180,Global Ecology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 3190,Tropical Marine Ecology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 3240,Animal Behavior,EBIO,Department of Ecology and Evolutionary Biology
EBIO 3400,Microbiology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 3410,Microbiology Lab,EBIO,Department of Ecology and Evolutionary Biology
EBIO 3523,The Art and Strategy of Science Communication: Branding Climate Change,EBIO,Department of Ecology and Evolutionary Biology
EBIO 3590,Plants and Society,EBIO,Department of Ecology and Evolutionary Biology
EBIO 3630,Parasitology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 3680,Honors Evolutionary Biology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 3850,Animal Diversity: Invertebrates,EBIO,Department of Ecology and Evolutionary Biology
EBIO 3930,Internship,EBIO,Department of Ecology and Evolutionary Biology
EBIO 3940,Written Communication in the Sciences,EBIO,Department of Ecology and Evolutionary Biology
EBIO 3980,Seminar: Introduction to EBIO Honors,EBIO,Department of Ecology and Evolutionary Biology
EBIO 3990,EBIO Honors Thesis Research,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4010,Spatial Ecology: Concepts and Data Analysis,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4030,Limnology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4040,Speciation,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4050,Fish Biology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4060,Landscape Ecology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4080,Freshwater Phycology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4090,Coral Reef Ecology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4100,Advanced Ecology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4120,Advanced Ecology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4140,Plant Ecology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4145,Restoration Ecology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4150,Techniques in Ecology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4155,Ecosystem Ecology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4160,Introduction to Biogeochemistry,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4175,The Scientific Basis for Ecosystem Management of Public Lands,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4270,Population Genetics,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4290,Phylogenetics and Comparative Biology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4320,Conservation Planning and Structured Decision Making,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4340,Conservation Biology and Practice in Brazil's Atlantic Forest,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4360,Lifestyle Medicine,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4370,Genetically Engineered Organisms,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4410,Biological Statistics,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4420,Computational Biology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4440,Animal Developmental Diversity,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4460,Special Topics,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4500,Plant Biodiversity and Evolution,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4510,Plant Anatomy and Development,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4511,Microbial Ecology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4520,Plant Systematics,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4560,The Lichen Biome,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4590,Soil Ecology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4600,Evolutionary Ecology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4640,Plant Field Studies,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4660,Insect Biology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4700,Quantitative Genetics,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4740,Biology of Amphibians and Reptiles,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4750,Ornithology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4760,Mammalogy,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4800,Critical Thinking in Biology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4811,Teaching and Learning Biology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4840,Independent Study: Upper Division,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4860,Critical Thinking in Biology - Lab,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4870,Independent Research: Upper Division,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4900,Public Health Practicum,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4980,Seminar: EBIO Honors Thesis,EBIO,Department of Ecology and Evolutionary Biology
EBIO 4990,EBIO Honors Thesis Research,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5000,EBIO Colloquia,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5030,Limnology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5040,Speciation,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5050,Fish Biology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5060,Landscape Ecology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5080,Freshwater Phycology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5100,Advanced Ecology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5120,Advanced Ecology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5150,Techniques in Ecology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5155,Ecosystem Ecology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5190,Diversity and Inclusion,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5240,Advanced Topics in Animal Behavior,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5270,Population Genetics,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5290,Phylogenetics and Comparative Biology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5320,Current Topics in Evolutionary Biology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5340,Conservation Biology and Practice in Brazil's Atlantic Forest,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5360,Lifestyle Medicine,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5370,Genetically Engineered Organisms,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5410,Biological Statistics,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5420,Computational Biology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5440,Animal Developmental Diversity,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5460,Special Topics,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5500,Plant Biodiversity and Evolution,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5510,Plant Anatomy and Development,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5511,Microbial Ecology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5520,Plant Systematics,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5560,The Lichen Biome,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5600,Evolutionary Ecology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5660,Insect Biology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5700,Quantitative Genetics,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5740,Biology of Amphibians and Reptiles,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5750,Ornithology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5760,Mammalogy,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5800,Critical Thinking in Biology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5820,Graduate Writing Seminar,EBIO,Department of Ecology and Evolutionary Biology
EBIO 5840,Independent Study (Master's Level),EBIO,Department of Ecology and Evolutionary Biology
EBIO 6000,Seminar: Introduction to Biological Research,EBIO,Department of Ecology and Evolutionary Biology
EBIO 6100,Seminar in Environmental Biology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 6120,Seminar in Environmental Biology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 6200,Seminar in Population Biology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 6210,Seminar in Population Biology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 6300,Seminar in Organismic Biology,EBIO,Department of Ecology and Evolutionary Biology
EBIO 6840,Independent Research (Master's Level),EBIO,Department of Ecology and Evolutionary Biology
EBIO 6940,Master's Candidate for Degree,EBIO,Department of Ecology and Evolutionary Biology
EBIO 6950,Master's Thesis,EBIO,Department of Ecology and Evolutionary Biology
EBIO 7840,Independent Study (Doctoral Level),EBIO,Department of Ecology and Evolutionary Biology
EBIO 8840,Independent Research (Doctoral Level),EBIO,Department of Ecology and Evolutionary Biology
EBIO 8990,Doctoral Dissertation,EBIO,Department of Ecology and Evolutionary Biology
ECON 1010,Economics in Action,ECON,Department of Economics
ECON 1078,Mathematical Tools for Economists 1,ECON,Department of Economics
ECON 1088,Mathematical Tools for Economists 2,ECON,Department of Economics
ECON 2010,Principles of Microeconomics,ECON,Department of Economics
ECON 2020,Principles of Macroeconomics,ECON,Department of Economics
ECON 3070,Intermediate Microeconomic Theory,ECON,Department of Economics
ECON 3080,Intermediate Macroeconomic Theory,ECON,Department of Economics
ECON 3403,International Economics and Policy,ECON,Department of Economics
ECON 3535,Natural Resource Economics,ECON,Department of Economics
ECON 3545,Environmental Economics,ECON,Department of Economics
ECON 3616,"Employment, Wages and the Future of Work",ECON,Department of Economics
ECON 3784,Economic Development and Policy,ECON,Department of Economics
ECON 3818,Introduction to Statistics with Computer  Applications,ECON,Department of Economics
ECON 4050,Market Design,ECON,Department of Economics
ECON 4060,"Choice Theory and Economic Ethics: Good, Bad and Happiness",ECON,Department of Economics
ECON 4070,Topics in Microeconomics,ECON,Department of Economics
ECON 4111,Money and Banking Systems,ECON,Department of Economics
ECON 4211,Public Economics: the Economics of the Government Sector,ECON,Department of Economics
ECON 4221,Political and Public Choice Economics,ECON,Department of Economics
ECON 4231,Applied Economic Analysis and Public Policy,ECON,Department of Economics
ECON 4242,Urban Economics: The Economics of Cities,ECON,Department of Economics
ECON 4292,"Migration, Immigrant Adaptation, and Development",ECON,Department of Economics
ECON 4309,Economics Honors Seminar 1,ECON,Department of Economics
ECON 4339,Economics Honors Seminar 2,ECON,Department of Economics
ECON 4413,International Trade,ECON,Department of Economics
ECON 4423,International Finance,ECON,Department of Economics
ECON 4504,"The New Institutional Economics: Institutions, Contracts and Economic Outcomes",ECON,Department of Economics
ECON 4514,Economic History of Europe,ECON,Department of Economics
ECON 4524,Economic History of the United States,ECON,Department of Economics
ECON 4534,Chinese Economic History in Comparative Perspective,ECON,Department of Economics
ECON 4535,Natural Resource Economics,ECON,Department of Economics
ECON 4545,Environmental Economics,ECON,Department of Economics
ECON 4555,Transportation Economics and Policy,ECON,Department of Economics
ECON 4616,Labor Economics,ECON,Department of Economics
ECON 4626,The Economics of Inequality and Discrimination,ECON,Department of Economics
ECON 4646,Topics in Health Economics,ECON,Department of Economics
ECON 4697,Industrial Organization and Regulation,ECON,Department of Economics
ECON 4705,Managerial Economics,ECON,Department of Economics
ECON 4717,Economics of Entrepreneurship,ECON,Department of Economics
ECON 4774,"Topics in Economic Development, History and Political Economy",ECON,Department of Economics
ECON 4784,Economic Development,ECON,Department of Economics
ECON 4794,Economic Growth,ECON,Department of Economics
ECON 4797,Antitrust and Regulation,ECON,Department of Economics
ECON 4808,Introduction to Mathematical Economics,ECON,Department of Economics
ECON 4818,Introduction to Econometrics,ECON,Department of Economics
ECON 4838,Microcomputer Applications in Economics,ECON,Department of Economics
ECON 4848,Applied Econometrics,ECON,Department of Economics
ECON 4858,Financial Econometrics,ECON,Department of Economics
ECON 4868,Simulation Modeling in Microeconomics,ECON,Department of Economics
ECON 4897,Economics of Organizations,ECON,Department of Economics
ECON 4909,Independent Study,ECON,Department of Economics
ECON 4929,Special Topics In Economics,ECON,Department of Economics
ECON 4939,Internship/Seminar,ECON,Department of Economics
ECON 7010,Microeconomic Theory 1,ECON,Department of Economics
ECON 7020,Macroeconomic Theory 1,ECON,Department of Economics
ECON 7030,Microeconomic Theory 2,ECON,Department of Economics
ECON 7040,Macroeconomic Theory 2,ECON,Department of Economics
ECON 7050,Advanced Economic Theory,ECON,Department of Economics
ECON 7818,Introduction to Probability and Asymptotic Theory,ECON,Department of Economics
ECON 7828,Econometrics,ECON,Department of Economics
ECON 8010,Economics of Risk and Time,ECON,Department of Economics
ECON 8020,Business Cycle Theory and Monetary and Fiscal Policy,ECON,Department of Economics
ECON 8209,Economics Research Methods Workshop 1,ECON,Department of Economics
ECON 8211,Public Economics 1,ECON,Department of Economics
ECON 8219,Economics Research Methods Workshop 2,ECON,Department of Economics
ECON 8221,Public Economics 2,ECON,Department of Economics
ECON 8413,International Economics 1,ECON,Department of Economics
ECON 8423,International Macroeconomics,ECON,Department of Economics
ECON 8433,International Economics 2,ECON,Department of Economics
ECON 8534,History of Economic Growth - US,ECON,Department of Economics
ECON 8535,Environmental Economics 1,ECON,Department of Economics
ECON 8545,Environmental Economics 2,ECON,Department of Economics
ECON 8676,Labor Economics 1,ECON,Department of Economics
ECON 8686,Labor Economics 2,ECON,Department of Economics
ECON 8747,Industrial Organization 1,ECON,Department of Economics
ECON 8757,Industrial Organization 2,ECON,Department of Economics
ECON 8764,History of Economic Development,ECON,Department of Economics
ECON 8774,Economic Development 1,ECON,Department of Economics
ECON 8784,Economic Development 2,ECON,Department of Economics
ECON 8828,Econometric Theory 1,ECON,Department of Economics
ECON 8838,Econometric Theory 2,ECON,Department of Economics
ECON 8848,Applied Microeconometrics,ECON,Department of Economics
ECON 8858,Computational and Structural Estimation Methods,ECON,Department of Economics
ECON 8909,Independent Study,ECON,Department of Economics
ECON 8999,Doctoral Dissertation,ECON,Department of Economics
EDUC 1001,Humanities Teaching for Equity: Naming,EDUC,Department of Education
EDUC 1020,First Year Success at CU,EDUC,Department of Education
EDUC 1080,Decolonizing Education: Design for New Futures,EDUC,Department of Education
EDUC 1500,Success Strategies in Higher Education,EDUC,Department of Education
EDUC 1580,Energy and Interactions,EDUC,Department of Education
EDUC 2001,Humanities Teaching for Equity: Noticing,EDUC,Department of Education
EDUC 2015,Elementary Mathematics and Science Teaching for Social Justice,EDUC,Department of Education
EDUC 2020,Step 1: Inquiry Approaches to Teaching STEM,EDUC,Department of Education
EDUC 2025,Step 1: Inquiry Approach to Teaching in Informal Settings,EDUC,Department of Education
